horse_idx,layer_idx,sawyer-right_j0,sawyer-right_j1,sawyer-right_j2,sawyer-right_j3,sawyer-right_j4,sawyer-right_j5,sawyer-right_j6
11,222,-0.3084741809619195,0.5656381662143897,-1.3454724331797132,1.5713056890059631,-2.64900125740055,1.9930911028393423,-0.033892466512631406
11,223,-0.31788062551034946,0.5667730298585254,-1.3508657069698051,1.5641904548604681,-2.649340624855363,1.9937146981014215,-0.03310687580713064
11,224,-0.32726556279833735,0.5678933185755751,-1.3562907057653633,1.5570255432417701,-2.649642983634339,1.9942557804074874,-0.0323216931713714
11,225,-0.33662943187252375,0.5689985297246456,-1.361747095445039,1.5498112650535008,-2.6499086456877876,1.9947152279533436,-0.03153737327035192
11,226,-0.34597240553824093,0.5700879355779034,-1.3672340678370187,1.5425480141445436,-2.6501380843816227,1.9950939109148869,-0.030754533045604642
11,227,-0.3552947558295314,0.5711609342168777,-1.3727512287413375,1.5352362364551841,-2.650331859856284,1.9953926467915906,-0.02997384252370596
11,228,-0.3645970278503334,0.5722171384339813,-1.3782985992086427,1.5278761980520283,-2.650490328817645,1.9956122460070043,-0.02919578235482839
11,229,-0.3738793503452521,0.5732557111788157,-1.3838751154750817,1.5204681895291936,-2.6506140409381307,1.9957536076828537,-0.028420985123347786
11,230,-0.38314194822169795,0.5742760379608318,-1.3894804011259696,1.5130126578616587,-2.6507036444169727,1.995817499466624,-0.027650189719388638
11,231,-0.3923852148057635,0.5752775513778663,-1.395114134151509,1.5055098457567273,-2.6507596867742445,1.9958047086185369,-0.026884005197719253
11,232,-0.4016095308186436,0.5762596991427862,-1.4007759543678289,1.4979599516334865,-2.6507826405423613,1.9957160274947057,-0.02612299688265438
11,233,-0.4108149127736795,0.5772215542276997,-1.4064647083434239,1.490363307450468,-2.6507732947826512,1.9955523286005,-0.02536794651800876
11,234,-0.42000166161234487,0.5781625614361584,-1.4121802124298708,1.4827202498949483,-2.650732360198806,1.9953142851462908,-0.024619617393524525
